X_Acc,Y_Acc,Z_Acc,Activity,Semantic_Interpretation
-0.08,3.49,1.3075534,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-7.7,9.81,-4.82,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
1.76,9.7,-1.38,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-2.3018389,8.430995,3.0645783,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
2.18,9.04,0.3405087,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-0.3,12.03,1.6480621,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
6.24,8.28,7.082581,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-2.45,8.24,-0.08172209,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-5.2,11.03,1.334794,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-4.82,9.51,-0.23154591,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-1.5,8.28,1.920469,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
0.99,14.14,-1.7297841,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
6.09,9.23,2.4516625,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
2.15,6.28,0.04,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
1.12,7.06,-0.27240697,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-0.89,13.1,7.246025,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-3.95,9.34,-2.3,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-8.12,19.15,3.0237172,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
5.9,7.89,1.0351465,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-1.57,5.94,-0.99,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
2.83,13.59,-1.4982382,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-0.95,2.26,-1.61,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
6.44,9.23,0.23154591,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-0.5,7.7,4.7535014,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
3.17,6.89,3.255263,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
2.34,4.48,-0.53119355,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
2.53,11.54,6.82,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-2.53,16.93,-0.08,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-2.91,13.82,0.14982383,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
1.08,8.92,5.597963,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-1.57,16.13,8.281172,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-4.02,9.38,-0.19068487,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-4.21,8.62,-0.53119355,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-0.57,11.6,5.09401,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-1.95,11.18,-0.50395286,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-5.6,16.82,2.22,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
2.83,10.31,-0.46309182,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-3.45,10.73,4.671779,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
0.69,18.28,-5.82,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-0.34,7.46,-0.14982383,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-0.04,2.53,3.1054392,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-0.57,10.73,-0.5720546,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-3.0237172,9.112013,1.3075534,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
3.17,13.38,-2.3018389,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
-3.3,16.44,5.938472,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
3.21,13.57,2.7649305,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
